Year,Sector,End Use,Energy Consumption (ktoe),Emissions (ktCO2e),Annual_HDD,Energy_per_HDD
1997,Domestic,Lighting/ Appliances,7252.371033121441,13679.424609041553,,
1997,Domestic,Space heating,28187.84595093976,53167.92423004276,,
1997,Domestic,Water ,8043.660372054822,15171.954818326592,,
1997,Industrial,Drying/Separation,2830.1593878722315,11927.306938207672,,
1997,Industrial,Lighting/ Appliances,298.36407520450285,1257.4132465995378,,
1997,Industrial,Motors/Drivers,3206.3299548984796,13512.624653269253,,
1997,Industrial,Other non-transport,9455.852527281966,39850.354696846625,,
1997,Industrial,Process use,13941.793291056681,58755.71834012363,,
1997,Industrial,Space heating,4621.752228387943,19477.72187550623,,
1997,Industrial,Unknown industrial heat,223.22870511537158,940.765843344045,,
1997,Services,Cooking/ Catering,2236.733361363681,1279.3685605885607,,
1997,Services,Lighting/ Appliances,4291.574048823227,2454.6980021591703,,
1997,Services,Other non-transport,2762.9129268232873,1580.333174834199,,
1997,Services,Space heating,10485.640657022404,5997.585240131103,,
1997,Services,Water ,1690.1244668265265,966.7187621420667,,
1998,Domestic,Cooking/ Catering,1330.4660754622391,2489.677651402064,,
1998,Domestic,Lighting/ Appliances,7471.115238417654,13980.565895808708,,
1998,Domestic,Space heating,29038.040726329866,54338.372372049475,,
1998,Domestic,Water ,8286.27124892835,15505.952930626152,,
1998,Industrial,Drying/Separation,2824.8125232393368,11398.416572275546,,
1998,Industrial,Lighting/ Appliances,297.80039235035923,1201.656003529723,,
1998,Industrial,Motors/Drivers,3200.272411881397,12913.436837059251,,
1998,Industrial,Other non-transport,9437.988104638971,38083.27778775625,,
1998,Industrial,Process use,13915.453827001576,56150.32438702875,,
1998,Industrial,Space heating,4613.020605837685,18614.024856251966,,
1998,Industrial,Unknown industrial heat,222.80697138774377,899.0496375215221,,
1998,Services,Cooking/ Catering,2241.3315326839374,1450.6536326953437,,
1998,Services,Lighting/ Appliances,4300.396465053485,2783.3391281430577,,
1998,Services,Other non-transport,2768.592793364348,1791.9121444469042,,
1998,Services,Space heating,10507.196544271404,6800.556996643423,,
1998,Services,Water ,1693.5989452714168,1096.1454949705712,,
1999,Domestic,Cooking/ Catering,1330.3200137514987,2484.9415052876384,,
1999,Domestic,Lighting/ Appliances,7470.295041726444,13953.970483825307,,
1999,Domestic,Space heating,29034.852861578365,54235.00378092718,,
1999,Domestic,Water ,8285.361562483427,15476.455755085579,,
1999,Industrial,Drying/Separation,2801.0524295921,10119.20392207255,,
1999,Industrial,Lighting/ Appliances,295.2955304693611,1066.7974860189245,,
1999,Industrial,Motors/Drivers,3173.3542459580267,11464.197668195839,,
1999,Industrial,Other non-transport,9358.603197016651,33809.29723981011,,
1999,Industrial,Process use,13798.40801126928,49848.729352890645,,
1999,Industrial,Space heating,4574.219517025729,16525.0245186764,,
1999,Industrial,Unknown industrial heat,220.9328949802379,798.1517924405407,,
1999,Services,Cooking/ Catering,2223.282862990964,1569.004682270826,,
1999,Services,Lighting/ Appliances,4265.766855727623,3010.416839676572,,
1999,Services,Other non-transport,2746.2982706161038,1938.1046457184207,,
1999,Services,Space heating,10422.585714922292,7355.377968452664,,
1999,Services,Water ,1679.9609771663734,1185.5741269288164,,
2000,Domestic,Cooking/ Catering,1351.3863090158827,2486.6078623497992,,
2000,Domestic,Lighting/ Appliances,7588.590970100313,13963.32776535947,,
2000,Domestic,Space heating,29494.634550959316,54271.37279861808,,
2000,Domestic,Water ,8416.564484519642,15486.833987848735,,
2000,Industrial,Drying/Separation,2906.171812461087,9922.755227773216,,
2000,Industrial,Lighting/ Appliances,306.37753793161687,1046.0872626827684,,
2000,Industrial,Motors/Drivers,3292.4455690748755,11241.638000414652,,
2000,Industrial,Other non-transport,9709.817826986779,33152.94202164405,,
2000,Industrial,Process use,14316.24199373791,48880.99336602158,,
2000,Industrial,Space heating,4745.883255860864,16204.21672441134,,
2000,Industrial,Unknown industrial heat,229.22418197309267,782.6569097714005,,
2000,Services,Cooking/ Catering,2245.058671708271,1596.0315710381228,,
2000,Services,Lighting/ Appliances,4307.547649628939,3062.272772286907,,
2000,Services,Other non-transport,2773.196721918497,1971.4894655797623,,
2000,Services,Space heating,10524.669096504498,7482.078025145346,,
2000,Services,Water ,1696.4152527334963,1205.9962330040612,,
2001,Domestic,Cooking/ Catering,1389.6670081924785,2552.0515241253297,,
2001,Domestic,Lighting/ Appliances,7803.552869715968,14330.820892592457,,
2001,Domestic,Space heating,30330.12860993874,55699.71114633415,,
2001,Domestic,Water ,8654.98037713509,15894.423435634368,,
2001,Industrial,Drying/Separation,2900.9724769449945,9393.099591617249,,
2001,Industrial,Lighting/ Appliances,305.829408049044,990.2493424809178,,
2001,Industrial,Motors/Drivers,3286.5551640036088,10641.583198107399,,
2001,Industrial,Other non-transport,9692.446314240638,31383.308266316966,,
2001,Industrial,Process use,14290.629280430372,46271.829576034004,,
2001,Industrial,Space heating,4737.392553672637,15339.26999131498,,
2001,Industrial,Unknown industrial heat,228.8140845984744,740.8803432915014,,
2001,Services,Cooking/ Catering,2309.720883108873,1649.079161664687,,
2001,Services,Lighting/ Appliances,4431.613697544975,3164.054087493278,,
2001,Services,Other non-transport,2853.0703728604135,2037.0162183034786,,
2001,Services,Space heating,10827.800763670115,7730.761208683977,,
2001,Services,Water ,1745.275428673572,1246.0801484017786,,
2002,Domestic,Cooking/ Catering,1369.2534338231512,2449.920691056043,4.995384512229256,274.10371123004984
2002,Domestic,Lighting/ Appliances,7688.922238124504,13757.314181426493,4.995384512229256,1539.2052842581322
2002,Domestic,Space heating,29884.59285758929,53470.65822662736,4.995384512229256,5982.440948124912
2002,Domestic,Water ,8527.842663890016,15258.342740831902,4.995384512229256,1707.144393592307
2002,Industrial,Drying/Separation,2763.567396973152,8486.641186352037,4.995384512229256,553.2241592629421
2002,Industrial,Lighting/ Appliances,291.34374346425835,894.6877197125137,4.995384512229256,58.32258612945941
2002,Industrial,Motors/Drivers,3130.8868911293503,9614.642895689858,4.995384512229256,626.755935096606
2002,Industrial,Other non-transport,9233.361861866402,28354.737847621524,4.995384512229256,1848.3786061437527
2002,Industrial,Process use,13613.75106985412,41806.47834270658,4.995384512229256,2725.265900257757
2002,Industrial,Space heating,4513.0051084732595,13858.99076307506,4.995384512229256,903.4349803153134
2002,Industrial,Unknown industrial heat,217.97626457680812,669.3834739224491,4.995384512229256,43.63553276893461
2002,Services,Cooking/ Catering,2037.6537520293534,1397.8092202273044,4.995384512229256,407.90728862632113
2002,Services,Lighting/ Appliances,3909.6041190019178,2681.94764666809,4.995384512229256,782.6432798978283
2002,Services,Other non-transport,2517.0009036926454,1726.6363664572953,4.995384512229256,503.8652975623293
2002,Services,Space heating,9552.370164580927,6552.826297292871,4.995384512229256,1912.239216259662
2002,Services,Water ,1539.6955760189621,1056.2151054167382,4.995384512229256,308.2236356880269
2003,Domestic,Cooking/ Catering,1392.9753624643295,2470.484938108368,5.339308397363444,260.8905983314584
2003,Domestic,Lighting/ Appliances,7822.130642175084,13872.790902218365,5.339308397363444,1465.0082108082875
2003,Domestic,Space heating,30402.33498021373,53919.4824803418,5.339308397363444,5694.058615386673
2003,Domestic,Water ,8675.585127146911,15386.418858102565,5.339308397363444,1624.851849994453
2003,Industrial,Drying/Separation,2788.965480109447,8733.552961528205,5.339308397363444,522.3458306859819
2003,Industrial,Lighting/ Appliances,294.0212872165291,920.7179156701083,5.339308397363444,55.06729810956736
2003,Industrial,Motors/Drivers,3159.6607598753535,9894.372943529923,5.339308397363444,591.7734142188897
2003,Industrial,Other non-transport,9318.219460219903,29179.695390055407,5.339308397363444,1745.210946200682
2003,Industrial,Process use,13738.8658696045,43022.80310002778,5.339308397363444,2573.154582415349
2003,Industrial,Space heating,4554.4810931245,14262.206586192935,5.339308397363444,853.0095574500824
2003,Industrial,Unknown industrial heat,219.97953733777803,688.858630016662,5.339308397363444,41.20000587461929
2003,Services,Cooking/ Catering,2022.7952643342305,1488.8621556357082,5.339308397363444,378.8496774850257
